subject,detection_prob,sex,correct,median_latency
07a,0.325524,female,0,66.38
07a,0.364444,female,1,49.77
07a,0.404753,female,1,96.83
07a,0.414378,female,0,147.66
07a,0.448057,female,1,56.5998
07a,0.452645,female,1,53.89
07a,0.496889,female,1,48.16
07a,0.550346,female,1,NA
07a,0.551599,female,1,85.9
07a,0.58387,female,1,NA
07a,0.607107,female,1,NA
07a,0.61911,female,0,69.91
07a,0.630156,female,1,47.74
07a,0.687631,female,1,116.06
07a,0.736457,female,1,56.43
07a,0.765533,female,1,34.53
07a,0.777067,female,1,51.97
07a,0.815795,female,0,57.96
07a,0.890907,female,0,69.81
07a,0.904481,female,1,140.19
07a,0.907547,female,1,NA
07a,0.917177,female,1,30.21
07a,0.935395,female,1,64.08
07a,0.93893,female,1,104.75
07a,0.959612,female,1,68.45
07a,0.981553,female,1,36.21
07b,0.171994,male,0,49.43
07b,0.191151,male,0,32.05
07b,0.204458,male,0,47
07b,0.211301,male,0,20.37
07b,0.31344,male,0,36.49
07b,0.337988,male,1,41.67
07b,0.425598,male,0,26.88
07b,0.445743,male,0,NA
07b,0.465154,male,0,NA
07b,0.473231,male,0,37.64
07b,0.483256,male,0,42.3301
07b,0.53805,male,1,26.8599
07b,0.539373,male,1,NA
07b,0.586149,male,0,55.3399
07b,0.725067,male,0,45.92
07b,0.730852,male,1,46.14
07b,0.743693,male,0,32.64
07b,0.772129,male,0,21.16
07b,0.82213,male,0,24.76
07b,0.836815,male,0,39.2397
07b,0.853961,male,0,57.09
07b,0.892401,male,0,37.7502
07b,0.901934,male,1,34.28
07b,0.902743,male,0,30.22
07b,0.956348,male,1,68.33
07b,0.959424,male,0,21.48
07b,0.963909,male,0,88.35
07b,0.981177,male,0,46.6
07c,0.160956,male,0,42.52
07c,0.321185,male,0,34.7
07c,0.323952,male,1,79.13
07c,0.343799,male,1,21.88
07c,0.35556,male,1,30.32
07c,0.363545,male,0,66.8497
07c,0.384537,male,1,63.58
07c,0.436473,male,1,64.66
07c,0.456085,male,1,62.98
07c,0.46329,male,1,53.08
07c,0.491943,male,0,NA
07c,0.491958,male,1,70.57
07c,0.494799,male,0,58.93
07c,0.497869,male,1,52.5799
07c,0.568181,male,1,44.3
07c,0.590564,male,0,58.31
07c,0.602605,male,0,67.63
07c,0.618893,male,0,NA
07c,0.718221,male,1,45.16
07c,0.719559,male,1,17.18
07c,0.728213,male,1,54.06
07c,0.798807,male,0,59.13
07c,0.849757,male,1,NA
07c,0.859167,male,1,35.52
07c,0.874999,male,0,NA
07c,0.88096699999999994,male,1,66.47
07c,0.96824,male,0,54.49
07c,0.982254,male,1,59.93
07d,0.210264,female,1,32.39
07d,0.213114,female,0,62.67
07d,0.309199,female,1,NA
07d,0.36881,female,1,108.05
07d,0.407846,female,1,69.9999
07d,0.413444,female,1,29.71
07d,0.464152,female,1,NA
07d,0.479608,female,1,24.18
07d,0.479996,female,1,123.66
07d,0.51039,female,1,NA
07d,0.533299,female,1,33.67
07d,0.551326,female,1,24.39
07d,0.588421,female,1,73.65
07d,0.602045,female,1,118.27
07d,0.629895,female,1,54.03
07d,0.664884,female,1,47.5
07d,0.705985,female,1,59.01
07d,0.706899,female,1,26.56
07d,0.70765,female,1,28.88
07d,0.753434,female,1,32.84
07d,0.801,female,1,41.1201
07d,0.803906,female,1,61.68
07d,0.89025,female,1,44.56
07d,0.89848,female,1,56.2
07d,0.928468,female,1,NA
07d,0.958204,female,1,56.85
07d,0.972729,female,1,54.64
07d,0.996008,female,1,27.38
08a,0.212731,female,1,47.69
08a,0.301795,female,1,40.34
08a,0.322108,female,1,57.51
08a,0.33277,female,1,69.46
08a,0.334117,female,1,115.15
08a,0.441336,female,1,38.36
08a,0.466593,female,1,46.1
08a,0.513473,female,1,NA
08a,0.522825,female,1,46.24
08a,0.608599,female,1,NA
08a,0.624469,female,1,NA
08a,0.626633,female,1,93.64
08a,0.713104,female,1,28.24
08a,0.728485,female,1,45.66
08a,0.733977,female,1,87.59
08a,0.781977,female,1,78.58
08a,0.853318,female,0,NA
08a,0.870996,female,1,60.36
08a,0.875028,female,1,75.77
08a,0.883562,female,1,37.44
08a,0.904039,female,1,42.38
08a,0.917611,female,1,71.56
08a,0.938551,female,1,80.07
08a,0.943132,female,1,118.52
08a,0.945239,female,1,61.16
08a,0.947539,female,1,68.96
08a,0.97379,female,1,82.71
08a,0.986188,female,1,32.24
08b,0.216704,female,1,41.55
08b,0.219021,female,1,50.35
08b,0.256074,female,1,94.42
08b,0.2633,female,1,NA
08b,0.266586,female,1,57.71
08b,0.357569,female,1,87.63
08b,0.362029,female,1,53.42
08b,0.367464,female,1,48.09
08b,0.386527,female,1,60.44
08b,0.407632,female,1,55.7701
08b,0.416041,female,1,43.07
08b,0.442121,female,1,30.66
08b,0.479821,female,1,104.63
08b,0.498716,female,1,55.84
08b,0.51327,female,1,NA
08b,0.521788,female,1,75.99
08b,0.591479,female,1,37.52
08b,0.602402,female,1,NA
08b,0.726899,female,1,46.59
08b,0.788418,female,1,38.65
08b,0.846419,female,1,72.1
08b,0.85485,female,1,72.44
08b,0.914486,female,1,NA
08b,0.922373,female,1,39.96
08b,0.941635,female,1,32.81
08b,0.952739,female,1,36.7
08b,0.958837,female,1,57.14
08b,0.996668,female,1,34.62
08c,0.171953,female,0,52.301
08c,0.194255,female,1,NA
08c,0.218512,female,1,34.271
08c,0.237387,female,1,58.1992
08c,0.243352,female,1,48.33
08c,0.296215,female,1,45.801
08c,0.301238,female,1,25.679
08c,0.36039,female,0,71.939
08c,0.363385,female,1,43.6295
08c,0.411613,female,1,81
08c,0.449718,female,1,55.9
08c,0.449777,female,1,34.54
08c,0.501337,female,1,60.8
08c,0.520898,female,1,45.4
08c,0.538031,female,0,103
08c,0.550035,female,0,37.2308
08c,0.593134,female,1,104.1605
08c,0.630366,female,1,NA
08c,0.646017,female,1,55.899
08c,0.703354,female,0,29.59
08c,0.725497,female,1,35.33
08c,0.774513,female,1,110.719
08c,0.862669,female,1,69.04
08c,0.872976,female,1,45.651
08c,0.882546,female,1,80.3
08c,0.896231,female,1,NA
08c,0.917885,female,1,NA
